Designator,Mid X,Mid Y,Rotation,Layer
C1,120.95,-80.93,270.0,top
C10,111.54,-107.58,0.0,top
C11,121.95,-80.93,270.0,top
C12,135.64,-86.23,0.0,top
C2,122.88,-68.35,180.0,top
C3,119.82,-67.335,90.0,top
C4,105.37,-87.75,180.0,top
C5,112.46,-68.69,90.0,top
C6,124.35,-80.93,90.0,top
C7,123.35,-80.93,90.0,top
C8,131.29,-78.79,270.0,top
L1,134.95,-79.305,90.0,top
R1,116.52,-68.69,90.0,top
R10,130.1725,-69.02,180.0,top
R11,118.55,-67.545,270.0,top
R12,121.08,-67.47,270.0,top
R2,114.69,-68.69,90.0,top
R3,133.35,-79.295,90.0,top
R4,113.9825,-90.32,180.0,top
R5,113.985,-92.28,180.0,top
R6,119.61,-105.59,0.0,top
R7,119.61,-107.63,0.0,top
R8,130.7,-89.42,0.0,top
R9,126.6975,-69.02,180.0,top
U1,121.45,-74.7825,0.0,top
U3,125.415,-104.08,270.0,top
U4,111.665,-100.6,180.0,top
U6,134.71,-82.7,90.0,top
Y2,123.84,-84.61,90.0,top
